,,,,,,,,,,% of FGA by Distance,,,,,,FG% by Distance,,,,,,% of FG Ast'd,,Dunks,,Corner 3s,,Heaves,,
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,10-Mar,16-Oct,16-3P,3P,2P,0-3,10-Mar,16-Oct,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
1,LeBron James,33,CLE,PF,82,82,3026,0.542,10.9,0.743,0.423,0.114,0.089,0.118,0.257,0.603,0.766,0.378,0.421,0.371,0.367,0.301,0.356,0.08,120,0.084,0.382,1,0,"MVP-2,AS,NBA1"
2,Khris Middleton,26,MIL,SF,82,82,2982,0.466,15.1,0.68,0.14,0.133,0.218,0.189,0.32,0.517,0.629,0.444,0.545,0.452,0.359,0.427,0.842,0.023,27,0.199,0.432,1,0,
3,Andrew Wiggins,22,MIN,SF,82,82,2979,0.438,13.1,0.74,0.229,0.179,0.137,0.195,0.26,0.475,0.695,0.459,0.348,0.32,0.331,0.47,0.848,0.047,58,0.18,0.426,0,0,
4,Bradley Beal,24,WAS,SG,82,82,2977,0.46,15.2,0.643,0.206,0.104,0.146,0.187,0.357,0.507,0.682,0.394,0.463,0.414,0.375,0.355,0.784,0.034,42,0.098,0.404,3,0,AS
5,Jrue Holiday,27,NOP,SG,81,81,2927,0.494,11.6,0.714,0.298,0.219,0.11,0.085,0.286,0.557,0.671,0.487,0.438,0.5,0.337,0.345,0.708,0.03,31,0.163,0.293,2,0,"DPOY-7,DEF1"
6,CJ McCollum,26,POR,SG,81,81,2923,0.443,14.4,0.684,0.183,0.153,0.169,0.179,0.316,0.465,0.547,0.4,0.469,0.431,0.397,0.218,0.624,0.007,11,0.124,0.356,0,0,
7,Karl-Anthony Towns,22,MIN,C,82,82,2918,0.545,10.3,0.757,0.341,0.246,0.089,0.08,0.243,0.585,0.723,0.476,0.442,0.5,0.421,0.642,0.975,0.096,96,0.161,0.565,1,0,"AS,NBA3"
8,Russell Westbrook,29,OKC,PG,80,80,2914,0.449,11.3,0.807,0.375,0.072,0.151,0.209,0.193,0.485,0.611,0.306,0.382,0.394,0.298,0.17,0.433,0.043,57,0.055,0.333,1,0,"MVP-5,AS,NBA2"
9,Paul George,27,OKC,SF,79,79,2891,0.43,16.1,0.546,0.196,0.091,0.113,0.146,0.454,0.454,0.669,0.32,0.358,0.323,0.401,0.358,0.803,0.032,38,0.195,0.437,4,0,"DPOY-4,AS,NBA3"
10,Giannis Antetokounmpo,23,MIL,PF,75,75,2756,0.529,8.4,0.9,0.454,0.173,0.114,0.16,0.1,0.554,0.756,0.355,0.35,0.339,0.307,0.429,0.907,0.122,161,0.107,0.333,1,0,"MVP-6,AS,NBA2"
11,Kemba Walker,27,CHO,PG,80,80,2736,0.431,16,0.559,0.227,0.086,0.095,0.151,0.441,0.469,0.573,0.316,0.408,0.437,0.384,0.151,0.481,0.001,0,0.048,0.379,7,0,AS
12,Ben Simmons,21,PHI,PG,81,81,2732,0.545,5.5,0.989,0.462,0.325,0.174,0.028,0.011,0.551,0.744,0.417,0.316,0.393,0,0.344,,0.161,148,0,,8,0,ROY-1
13,Anthony Davis,24,NOP,PF,75,75,2727,0.534,9.2,0.889,0.374,0.201,0.157,0.157,0.111,0.558,0.744,0.483,0.428,0.339,0.34,0.701,0.909,0.154,211,0.093,0.4,3,0,"MVP-3,DPOY-3,AS,NBA1,DEF1"
14,Taj Gibson,32,MIN,PF,82,82,2726,0.577,6.5,0.953,0.482,0.236,0.117,0.118,0.047,0.595,0.752,0.466,0.442,0.368,0.2,0.711,1,0.125,89,0.771,0.222,1,0,
15,DeMar DeRozan,28,TOR,SG,80,80,2711,0.456,12.9,0.797,0.199,0.168,0.243,0.186,0.203,0.494,0.676,0.456,0.442,0.403,0.31,0.263,0.674,0.021,28,0.289,0.301,4,0,"MVP-8,AS,NBA2"
