,,,,,,,,,,% of FGA by Distance,,,,,,FG% by Distance,,,,,,% of FG Ast'd,,Dunks,,Corner 3s,,Heaves,,
20,Gorgui Dieng,27,MIN,PF,82,82,2653,0.502,10.4,0.935,0.337,0.177,0.135,0.286,0.065,0.511,0.641,0.436,0.449,0.434,0.372,0.782,0.938,0.079,47,0.721,0.452,3,0,
21,Klay Thompson,26,GSW,SG,78,78,2649,0.468,17.7,0.53,0.156,0.061,0.124,0.189,0.47,0.516,0.664,0.393,0.474,0.462,0.414,0.75,0.955,0.004,5,0.272,0.432,0,0,AS
22,Stephen Curry,28,GSW,PG,79,79,2638,0.468,18.4,0.453,0.219,0.069,0.049,0.116,0.547,0.537,0.642,0.4,0.451,0.455,0.411,0.413,0.639,0.003,3,0.136,0.449,18,1,"MVP-6,AS,NBA2"
23,DeMar DeRozan,27,TOR,SG,74,74,2620,0.467,12.6,0.92,0.158,0.216,0.236,0.31,0.08,0.484,0.668,0.482,0.493,0.384,0.266,0.188,0.848,0.02,28,0.395,0.408,3,0,"MVP-11,AS,NBA3"
24,Nicolas Batum,28,CHO,SG,77,77,2617,0.403,17.3,0.585,0.117,0.102,0.182,0.185,0.415,0.453,0.64,0.384,0.435,0.389,0.333,0.457,0.867,0.013,12,0.089,0.333,2,0,
25,Otto Porter Jr.,23,WAS,SF,80,80,2605,0.516,16.3,0.575,0.197,0.1,0.09,0.189,0.425,0.576,0.709,0.513,0.5,0.507,0.434,0.665,0.966,0.027,21,0.402,0.423,1,0,
26,DeAndre Jordan,28,LAC,C,81,81,2570,0.714,1.3,0.997,0.877,0.12,0,0,0.003,0.717,0.753,0.449,,,0,0.723,,0.477,253,0,,0,0,"AS,NBA3"
27,Isaiah Thomas,27,BOS,PG,76,76,2569,0.463,14.3,0.561,0.331,0.104,0.064,0.062,0.439,0.528,0.589,0.359,0.516,0.5,0.379,0.341,0.604,0,0,0.13,0.429,0,0,"MVP-5,AS,NBA2"
28,Tobias Harris,24,DET,PF,82,48,2567,0.481,13.3,0.705,0.207,0.22,0.169,0.108,0.295,0.537,0.705,0.474,0.444,0.487,0.347,0.502,0.991,0.051,50,0.258,0.346,2,0,
29,Marcus Morris,27,DET,SF,79,79,2565,0.418,17.3,0.645,0.113,0.086,0.192,0.255,0.355,0.466,0.623,0.356,0.43,0.459,0.331,0.38,0.915,0.007,7,0.154,0.436,6,0,
30,Marcin Gortat,32,WAS,C,82,82,2556,0.579,5,0.997,0.522,0.312,0.141,0.022,0.003,0.58,0.702,0.486,0.368,0.4,0,0.71,,0.083,46,0,,0,0,
31,Myles Turner,20,IND,C,81,81,2541,0.511,12,0.868,0.295,0.15,0.122,0.3,0.132,0.536,0.715,0.469,0.453,0.429,0.348,0.812,0.975,0.1,86,0.113,0.154,1,0,
32,Carmelo Anthony,32,NYK,SF,74,74,2538,0.433,16.6,0.697,0.127,0.076,0.211,0.284,0.303,0.466,0.563,0.419,0.437,0.457,0.359,0.313,0.762,0.011,12,0.109,0.435,7,0,AS
33,Marc Gasol,32,MEM,C,74,74,2531,0.459,13.9,0.769,0.129,0.255,0.196,0.189,0.231,0.48,0.673,0.48,0.441,0.388,0.388,0.57,0.981,0.022,23,0.019,0.4,2,0,AS
34,Kentavious Caldwell-Pope,23,DET,SG,76,75,2529,0.399,17.8,0.529,0.152,0.079,0.113,0.185,0.471,0.442,0.61,0.274,0.381,0.413,0.35,0.525,0.784,0.02,19,0.172,0.467,7,0,
35,Kyrie Irving,24,CLE,PG,72,72,2525,0.473,14,0.689,0.264,0.123,0.159,0.144,0.311,0.505,0.603,0.362,0.469,0.485,0.401,0.223,0.531,0.001,2,0.195,0.384,1,0,AS
36,Gordon Hayward,26,UTA,SF,73,73,2516,0.471,14.4,0.676,0.23,0.126,0.138,0.181,0.324,0.506,0.692,0.425,0.444,0.378,0.398,0.429,0.745,0.062,68,0.134,0.4,1,0,AS
37,Hassan Whiteside,27,MIA,C,77,77,2513,0.557,5.4,1,0.445,0.374,0.106,0.075,0,0.557,0.741,0.423,0.398,0.37,,0.585,,0.179,163,,,0,0,DPOY-5
38,Wesley Matthews,30,DAL,SG,73,73,2495,0.393,18.7,0.434,0.113,0.091,0.112,0.119,0.566,0.432,0.552,0.377,0.432,0.356,0.363,0.296,0.839,0.001,1,0.177,0.435,2,0,
39,Dennis Schröder,23,ATL,PG,79,78,2485,0.451,11.8,0.758,0.375,0.125,0.091,0.168,0.242,0.487,0.558,0.382,0.387,0.456,0.34,0.21,0.67,0.002,1,0.088,0.5,1,0,
40,Kawhi Leonard,25,SAS,SF,74,74,2474,0.485,14.8,0.705,0.172,0.143,0.18,0.21,0.295,0.529,0.664,0.527,0.441,0.493,0.38,0.384,0.782,0.055,67,0.155,0.483,0,0,"MVP-3,DPOY-3,AS,NBA1,DEF1"
41,Draymond Green,26,GSW,PF,76,76,2471,0.418,12.8,0.595,0.394,0.138,0.035,0.031,0.405,0.494,0.637,0.211,0.174,0.25,0.308,0.712,0.975,0.109,65,0.068,0.389,1,0,"DPOY-1,AS,NBA3,DEF1"
42,Ricky Rubio,26,MIN,PG,75,75,2469,0.402,16.1,0.698,0.194,0.062,0.105,0.337,0.302,0.443,0.484,0.325,0.471,0.434,0.306,0.269,0.95,0,0,0.291,0.298,3,0,
43,DeMarcus Cousins,26,2TM,C,72,72,2465,0.452,11.8,0.747,0.339,0.214,0.054,0.139,0.253,0.483,0.604,0.408,0.312,0.372,0.361,0.399,0.893,0.056,66,0.03,0.273,6,0,AS
43,DeMarcus Cousins,26,SAC,C,55,55,1891,0.452,11.5,0.761,0.327,0.227,0.058,0.147,0.239,0.482,0.615,0.406,0.277,0.39,0.356,0.424,0.884,0.059,56,0.041,0.273,4,0,
43,DeMarcus Cousins,26,NOP,C,17,17,574,0.452,12.2,0.694,0.379,0.166,0.038,0.111,0.306,0.486,0.571,0.423,0.5,0.286,0.375,0.302,0.917,0.045,10,0,,2,0,
44,Courtney Lee,31,NYK,SG,77,74,2459,0.456,16,0.618,0.163,0.107,0.152,0.202,0.382,0.49,0.574,0.427,0.486,0.444,0.401,0.521,0.889,0.014,9,0.405,0.459,0,0,
45,Goran Dragić,30,MIA,PG,73,73,2459,0.475,12.5,0.743,0.267,0.187,0.177,0.113,0.257,0.499,0.61,0.486,0.417,0.386,0.405,0.204,0.658,0,0,0.211,0.426,0,0,
46,Serge Ibaka,27,2TM,PF,79,79,2422,0.48,15.5,0.677,0.146,0.189,0.177,0.165,0.323,0.522,0.727,0.457,0.466,0.475,0.391,0.666,0.984,0.038,35,0.057,0.167,0,0,
46,Serge Ibaka,27,ORL,PF,56,56,1710,0.488,14.5,0.696,0.171,0.189,0.168,0.168,0.304,0.532,0.725,0.496,0.449,0.458,0.388,0.673,0.976,0.048,32,0.061,0.231,0,0,
46,Serge Ibaka,27,TOR,PF,23,23,712,0.459,16.4,0.631,0.082,0.19,0.201,0.158,0.369,0.494,0.739,0.358,0.5,0.523,0.398,0.644,1,0.011,3,0.049,0,0,0,
47,Elfrid Payton,22,ORL,PG,82,58,2412,0.471,9.2,0.84,0.424,0.219,0.088,0.106,0.16,0.509,0.61,0.43,0.363,0.402,0.274,0.133,0.9,0.018,16,0.253,0.324,2,0,
48,Andre Drummond,23,DET,C,81,81,2409,0.53,4.4,0.992,0.494,0.42,0.07,0.004,0.008,0.532,0.684,0.381,0.406,0,0.286,0.603,0,0.147,118,0,,4,1,
49,Marcus Smart,22,BOS,SG,79,24,2399,0.359,15.7,0.557,0.224,0.179,0.077,0.076,0.443,0.42,0.488,0.396,0.362,0.333,0.283,0.417,0.904,0.013,9,0.223,0.419,9,0,
50,Jordan Clarkson,24,LAL,SG,82,19,2397,0.445,13.5,0.668,0.246,0.205,0.109,0.106,0.332,0.503,0.627,0.445,0.419,0.425,0.329,0.253,0.778,0.02,18,0.16,0.281,1,0,
51,Steven Adams,23,OKC,C,80,80,2389,0.571,3.7,0.998,0.557,0.388,0.046,0.005,0.002,0.572,0.655,0.488,0.367,0,0,0.668,,0.198,112,0,,1,0,
52,Andre Roberson,25,OKC,SF,79,79,2376,0.464,10.9,0.603,0.518,0.069,0.004,0.013,0.397,0.609,0.667,0.25,0,0.333,0.245,0.765,0.978,0.14,59,0.451,0.229,1,0,"DPOY-5,DEF2"
53,Solomon Hill,25,NOP,SF,80,71,2374,0.383,16.3,0.435,0.276,0.077,0.048,0.029,0.565,0.428,0.523,0.27,0.304,0.214,0.348,0.348,1,0.044,17,0.341,0.37,2,0,
54,Markieff Morris,27,WAS,PF,76,76,2374,0.457,11.9,0.78,0.287,0.181,0.154,0.157,0.22,0.483,0.612,0.422,0.401,0.4,0.362,0.597,0.972,0.083,65,0.332,0.323,0,0,
55,Michael Kidd-Gilchrist,23,CHO,SF,81,81,2349,0.477,8.2,0.985,0.474,0.129,0.121,0.259,0.015,0.483,0.621,0.263,0.467,0.35,0.111,0.707,1,0.065,39,0.444,0,2,0,
56,Paul Millsap,31,ATL,PF,69,67,2343,0.442,12.2,0.752,0.254,0.216,0.184,0.098,0.248,0.486,0.611,0.395,0.475,0.379,0.311,0.558,0.947,0.017,15,0.166,0.45,1,0,AS
57,Tony Snell,25,MIL,SG,80,80,2336,0.455,19,0.344,0.17,0.048,0.052,0.078,0.656,0.548,0.685,0.308,0.464,0.429,0.406,0.657,0.993,0.039,19,0.386,0.394,0,0,
58,Tristan Thompson,25,CLE,C,78,78,2336,0.6,3,0.993,0.686,0.263,0.034,0.009,0.007,0.604,0.677,0.435,0.467,0.5,0,0.71,,0.293,122,0,,1,0,
59,LaMarcus Aldridge,31,SAS,PF,72,72,2335,0.477,11.8,0.947,0.222,0.194,0.202,0.328,0.053,0.48,0.7,0.422,0.387,0.424,0.411,0.577,0.957,0.041,37,0.411,0.435,0,0,DPOY-8
60,Jae Crowder,26,BOS,SF,72,72,2335,0.463,17.9,0.453,0.213,0.039,0.038,0.164,0.547,0.54,0.739,0.321,0.444,0.356,0.398,0.761,0.93,0.018,13,0.228,0.478,1,0,
61,Eric Gordon,28,HOU,SG,75,15,2323,0.406,18.7,0.349,0.194,0.094,0.015,0.044,0.651,0.468,0.574,0.365,0.2,0.333,0.372,0.446,0.841,0.007,6,0.13,0.372,2,0,6MOY-1
62,Aaron Gordon,21,ORL,SF,80,72,2298,0.454,12.7,0.691,0.361,0.092,0.106,0.131,0.309,0.528,0.683,0.325,0.446,0.319,0.288,0.503,0.844,0.123,99,0.255,0.265,3,0,
63,Marvin Williams,30,CHO,PF,76,76,2295,0.422,15.7,0.497,0.23,0.143,0.07,0.055,0.503,0.494,0.611,0.416,0.367,0.359,0.35,0.717,0.976,0.02,14,0.246,0.368,1,1,
64,Mike Conley,29,MEM,PG,69,68,2292,0.46,16.2,0.585,0.199,0.135,0.083,0.167,0.415,0.497,0.607,0.471,0.405,0.432,0.408,0.266,0.561,0.001,1,0.115,0.438,9,0,
65,Brandon Ingram,19,LAL,SF,79,40,2279,0.402,12.9,0.727,0.278,0.141,0.15,0.159,0.273,0.443,0.607,0.289,0.33,0.394,0.294,0.362,0.982,0.047,30,0.412,0.364,1,0,
66,Robin Lopez,28,CHI,C,81,81,2271,0.493,8.8,0.997,0.312,0.324,0.094,0.267,0.003,0.494,0.566,0.474,0.452,0.449,0,0.681,,0.04,26,0.5,0,0,0,
67,Allen Crabbe,24,POR,SG,79,7,2254,0.468,17.7,0.533,0.153,0.088,0.07,0.224,0.467,0.49,0.646,0.404,0.467,0.421,0.444,0.775,0.97,0.005,3,0.268,0.42,0,0,
68,Kyle Lowry,30,TOR,PG,60,60,2244,0.464,16.4,0.49,0.194,0.167,0.059,0.071,0.51,0.518,0.68,0.399,0.463,0.4,0.412,0.142,0.523,0,0,0.083,0.308,1,0,AS
69,Thaddeus Young,28,IND,PF,74,74,2237,0.527,8.3,0.828,0.438,0.281,0.044,0.067,0.172,0.557,0.651,0.482,0.4,0.348,0.381,0.729,0.978,0.061,36,0.492,0.345,1,0,
70,P.J. Tucker,31,2TM,SF,81,21,2236,0.413,13.8,0.593,0.299,0.16,0.071,0.062,0.407,0.451,0.507,0.377,0.412,0.433,0.357,0.457,0.986,0.015,7,0.77,0.391,1,0,
70,P.J. Tucker,31,PHO,SF,57,17,1627,0.415,12.8,0.616,0.319,0.155,0.079,0.059,0.384,0.463,0.522,0.364,0.464,0.429,0.338,0.436,0.978,0.02,7,0.787,0.364,1,0,
70,P.J. Tucker,31,TOR,SF,24,4,609,0.406,14.7,0.531,0.242,0.172,0.047,0.07,0.469,0.412,0.452,0.409,0.167,0.444,0.4,0.536,1,0,0,0.733,0.455,0,0,
71,Evan Fournier,24,ORL,SG,68,66,2234,0.439,14.2,0.613,0.276,0.166,0.065,0.105,0.387,0.491,0.591,0.416,0.45,0.378,0.356,0.457,0.875,0.011,10,0.172,0.387,2,0,
72,Maurice Harkless,23,POR,SF,77,69,2223,0.503,9.9,0.689,0.522,0.112,0.014,0.042,0.311,0.572,0.613,0.457,0.444,0.385,0.351,0.626,1,0.119,69,0.459,0.303,1,0,
73,Brook Lopez,28,BRK,C,75,75,2222,0.474,12.6,0.67,0.229,0.298,0.108,0.037,0.33,0.536,0.675,0.479,0.468,0.326,0.346,0.504,0.985,0.049,55,0.137,0.415,0,0,
74,Victor Oladipo,24,OKC,SG,67,67,2222,0.442,14.5,0.622,0.265,0.092,0.118,0.144,0.378,0.491,0.607,0.349,0.418,0.44,0.361,0.428,0.882,0.041,36,0.307,0.435,2,0,
75,Dwight Howard,31,ATL,C,74,74,2199,0.633,2.9,0.997,0.757,0.175,0.029,0.038,0.003,0.635,0.735,0.327,0.333,0.261,0,0.657,,0.346,199,1,0,0,0,
76,JJ Redick,32,LAC,SG,78,78,2198,0.445,20.3,0.474,0.076,0.056,0.049,0.293,0.526,0.462,0.559,0.48,0.341,0.452,0.429,0.815,0.955,0,0,0.143,0.478,0,0,
77,Wilson Chandler,29,DEN,SF,71,33,2197,0.461,13.5,0.653,0.266,0.19,0.093,0.104,0.347,0.527,0.68,0.433,0.391,0.429,0.337,0.495,0.918,0.051,46,0.248,0.284,1,0,
78,Al Horford,30,BOS,C,68,68,2193,0.473,13.4,0.698,0.213,0.22,0.127,0.136,0.302,0.524,0.708,0.472,0.392,0.45,0.355,0.59,0.977,0.052,41,0.157,0.368,0,0,
79,Jrue Holiday,26,NOP,PG,67,61,2190,0.454,13.4,0.685,0.292,0.158,0.095,0.14,0.315,0.498,0.598,0.461,0.506,0.328,0.356,0.23,0.48,0.02,16,0.132,0.378,1,0,
80,Nik Stauskas,23,PHI,SG,80,27,2188,0.396,17.2,0.434,0.241,0.062,0.057,0.073,0.566,0.433,0.536,0.205,0.472,0.261,0.368,0.487,0.818,0.027,16,0.189,0.485,1,0,
81,Tyler Johnson,24,MIA,PG,73,0,2178,0.433,13.9,0.697,0.261,0.149,0.087,0.198,0.303,0.46,0.595,0.439,0.292,0.374,0.372,0.451,0.957,0.046,35,0.208,0.385,2,0,6MOY-11
82,Eric Bledsoe,27,PHO,PG,66,66,2176,0.434,13.8,0.7,0.278,0.143,0.105,0.178,0.3,0.477,0.606,0.459,0.385,0.332,0.335,0.116,0.51,0.004,4,0.077,0.292,4,0,
83,Kristaps Porziņģis,21,NYK,PF,66,65,2164,0.45,14.1,0.681,0.207,0.162,0.196,0.116,0.319,0.493,0.701,0.338,0.482,0.36,0.357,0.668,0.982,0.086,78,0.111,0.429,0,0,
84,Nikola Vučević,26,ORL,C,75,55,2163,0.468,11.4,0.927,0.215,0.256,0.193,0.264,0.073,0.481,0.608,0.485,0.417,0.419,0.307,0.617,1,0.017,16,0.08,0.167,0,0,
85,Jamal Crawford,36,LAC,SG,82,1,2157,0.413,17.7,0.63,0.093,0.125,0.122,0.292,0.37,0.443,0.556,0.385,0.434,0.433,0.36,0.21,0.612,0.002,2,0.171,0.382,5,2,6MOY-7
86,Tim Hardaway Jr.,24,ATL,SG,79,30,2154,0.455,15.5,0.543,0.292,0.078,0.066,0.107,0.457,0.537,0.654,0.408,0.4,0.398,0.357,0.635,0.846,0.054,47,0.168,0.414,4,0,6MOY-10
87,Mason Plumlee,26,2TM,C,81,64,2148,0.536,4.8,0.99,0.626,0.197,0.08,0.09,0.01,0.541,0.654,0.398,0.32,0.25,0,0.719,,0.226,131,0,,5,0,
87,Mason Plumlee,26,POR,C,54,54,1516,0.532,5.3,0.989,0.609,0.19,0.081,0.109,0.011,0.538,0.658,0.381,0.389,0.25,0,0.74,,0.215,90,0,,4,0,
87,Mason Plumlee,26,DEN,C,27,10,632,0.547,4.2,0.994,0.669,0.215,0.077,0.044,0.006,0.55,0.645,0.436,0.143,0.25,0,0.667,,0.254,41,0,,1,0,
88,Ersan İlyasova,29,3TM,PF,82,52,2142,0.431,16.4,0.548,0.245,0.098,0.081,0.124,0.452,0.496,0.601,0.368,0.375,0.473,0.353,0.736,0.93,0.009,8,0.204,0.427,0,0,
88,Ersan İlyasova,29,OKC,PF,3,0,62,0.375,18.7,0.25,0.25,0,0,0,0.75,0.75,0.75,,,,0.25,0.333,1,0,0,0.25,0.333,0,0,
88,Ersan İlyasova,29,PHI,PF,53,40,1447,0.44,16,0.54,0.235,0.1,0.077,0.128,0.46,0.509,0.658,0.369,0.32,0.458,0.359,0.736,0.925,0.011,7,0.185,0.455,0,0,
88,Ersan İlyasova,29,ATL,PF,26,12,633,0.412,14.6,0.593,0.274,0.097,0.097,0.119,0.407,0.455,0.452,0.364,0.5,0.519,0.348,0.754,0.938,0.004,1,0.261,0.375,0,0,
89,Danilo Gallinari,28,DEN,SF,63,63,2134,0.447,16.6,0.568,0.208,0.073,0.097,0.188,0.432,0.491,0.679,0.382,0.329,0.411,0.389,0.502,0.952,0.063,39,0.185,0.433,0,0,
90,T.J. McConnell,24,PHI,PG,81,51,2133,0.461,9.2,0.893,0.35,0.273,0.174,0.096,0.107,0.492,0.615,0.407,0.461,0.347,0.2,0.244,0.909,0,0,0.164,0.222,2,0,
91,Julius Randle,22,LAL,PF,74,73,2132,0.488,7.1,0.918,0.437,0.335,0.062,0.085,0.082,0.507,0.651,0.367,0.5,0.318,0.27,0.489,0.941,0.067,50,0.063,0.5,0,0,
92,Dario Šarić,22,PHI,PF,81,36,2129,0.411,14.2,0.632,0.283,0.146,0.056,0.149,0.368,0.469,0.599,0.437,0.404,0.275,0.311,0.513,0.925,0.015,12,0.082,0.357,1,0,ROY-2
93,Robert Covington,26,PHI,SF,67,67,2119,0.399,16.2,0.437,0.288,0.101,0.016,0.031,0.563,0.484,0.588,0.257,0.333,0.348,0.333,0.652,0.942,0.027,14,0.08,0.303,0,0,DPOY-4
94,Ryan Anderson,28,HOU,PF,72,72,2116,0.418,19.9,0.345,0.144,0.074,0.035,0.092,0.655,0.446,0.568,0.351,0.444,0.338,0.403,0.378,0.975,0.009,6,0.142,0.542,0,0,
95,JaMychal Green,26,MEM,PF,77,75,2101,0.5,11.3,0.71,0.434,0.084,0.058,0.136,0.29,0.549,0.608,0.31,0.414,0.559,0.379,0.6,0.982,0.116,49,0.552,0.425,0,0,
96,James Johnson,29,MIA,PF,76,5,2085,0.479,12.4,0.667,0.354,0.159,0.083,0.073,0.333,0.548,0.632,0.451,0.469,0.429,0.34,0.306,0.931,0.049,36,0.336,0.384,5,0,6MOY-5
97,Bojan Bogdanović,27,2TM,SF,81,54,2083,0.445,15.5,0.536,0.29,0.102,0.077,0.067,0.464,0.512,0.62,0.395,0.308,0.456,0.367,0.509,0.924,0.025,18,0.227,0.427,0,0,
97,Bojan Bogdanović,27,BRK,SF,55,54,1482,0.44,14.6,0.547,0.319,0.092,0.074,0.062,0.453,0.509,0.61,0.411,0.289,0.395,0.357,0.488,0.929,0.028,14,0.235,0.446,0,0,
97,Bojan Bogdanović,27,WAS,SF,26,0,601,0.457,16.4,0.509,0.214,0.128,0.085,0.081,0.491,0.521,0.66,0.367,0.35,0.579,0.391,0.565,0.911,0.017,4,0.209,0.375,0,0,
98,Derrick Rose,28,NYK,PG,64,64,2082,0.471,8.8,0.939,0.411,0.201,0.149,0.177,0.061,0.487,0.557,0.413,0.432,0.457,0.217,0.217,0.692,0.009,8,0.183,0.455,5,0,
99,Blake Griffin,27,LAC,PF,61,61,2076,0.493,10.7,0.884,0.348,0.192,0.061,0.283,0.116,0.514,0.669,0.409,0.322,0.436,0.336,0.499,0.974,0.078,68,0.239,0.481,1,0,
100,Kevin Durant,28,GSW,PF,62,62,2070,0.537,13.8,0.696,0.268,0.116,0.161,0.151,0.304,0.608,0.796,0.487,0.43,0.555,0.375,0.565,0.803,0.107,107,0.125,0.436,2,0,"MVP-9,AS,NBA2"
101,Jonas Valančiūnas,24,TOR,C,80,80,2066,0.557,6.3,0.997,0.446,0.295,0.145,0.113,0.003,0.557,0.626,0.57,0.431,0.405,0.5,0.615,1,0.1,67,0,,1,0,
102,Darren Collison,29,SAC,PG,68,64,2063,0.476,14,0.755,0.223,0.15,0.112,0.272,0.245,0.495,0.597,0.439,0.45,0.459,0.417,0.36,0.753,0.001,1,0.28,0.571,1,0,
103,Patrick Beverley,28,HOU,SG,67,67,2058,0.42,15.9,0.47,0.21,0.173,0.055,0.033,0.53,0.463,0.544,0.436,0.367,0.222,0.382,0.297,0.836,0.004,1,0.323,0.387,1,0,"DPOY-8,DEF1"
104,Austin Rivers,24,LAC,SG,74,29,2054,0.442,13.6,0.591,0.298,0.183,0.055,0.055,0.409,0.491,0.592,0.403,0.475,0.25,0.371,0.208,0.703,0.015,6,0.197,0.39,0,0,
105,T.J. Warren,23,PHO,SF,66,59,2048,0.495,10.7,0.88,0.29,0.221,0.2,0.167,0.12,0.527,0.746,0.456,0.399,0.397,0.265,0.536,0.923,0.032,23,0.52,0.255,3,0,
106,Jameer Nelson,34,DEN,PG,75,39,2045,0.444,17.1,0.548,0.212,0.079,0.056,0.2,0.452,0.489,0.594,0.479,0.324,0.43,0.388,0.327,0.726,0,0,0.103,0.286,1,0,
107,Nikola Jokić,21,DEN,C,73,59,2038,0.578,9.5,0.837,0.349,0.293,0.097,0.102,0.163,0.628,0.674,0.624,0.53,0.552,0.324,0.566,0.933,0.029,23,0.072,0.1,1,0,
108,Seth Curry,26,DAL,PG,70,42,2029,0.481,17.3,0.542,0.129,0.127,0.088,0.198,0.458,0.528,0.637,0.584,0.516,0.424,0.425,0.229,0.745,0,0,0.217,0.486,1,0,
109,Cory Joseph,25,TOR,PG,80,22,2003,0.452,12.4,0.796,0.248,0.212,0.12,0.216,0.204,0.477,0.598,0.421,0.38,0.448,0.356,0.175,0.958,0,0,0.311,0.357,0,0,
110,Andre Iguodala,33,GSW,SF,76,0,1998,0.528,14.1,0.573,0.361,0.043,0.034,0.133,0.427,0.651,0.767,0.333,0.286,0.545,0.362,0.703,0.922,0.195,76,0.441,0.372,2,0,6MOY-2
111,Monta Ellis,31,IND,SG,74,33,1998,0.443,13.4,0.758,0.262,0.151,0.086,0.259,0.242,0.483,0.616,0.5,0.417,0.361,0.319,0.324,0.884,0.014,7,0.4,0.296,2,0,
