,,,,,,,,,,% of FGA by Distance,,,,,,FG% by Distance,,,,,,% of FG Ast'd,,Dunks,,Corner 3s,,Heaves,,
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,10-Mar,16-Oct,16-3P,3P,2P,0-3,10-Mar,16-Oct,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
1,Andrew Wiggins,21,MIN,SF,82,82,3048,0.452,12.6,0.816,0.291,0.131,0.139,0.253,0.184,0.473,0.65,0.374,0.365,0.383,0.356,0.414,0.757,0.052,77,0.104,0.367,1,0,
2,Karl-Anthony Towns,21,MIN,C,82,82,3030,0.542,9.7,0.814,0.378,0.252,0.074,0.109,0.186,0.582,0.707,0.499,0.473,0.416,0.367,0.596,0.96,0.093,130,0.2,0.436,3,0,
3,James Harden,27,HOU,PG,81,81,2947,0.44,15.9,0.507,0.242,0.134,0.076,0.053,0.493,0.53,0.682,0.364,0.419,0.427,0.347,0.095,0.317,0.014,21,0.056,0.357,3,0,"MVP-2,AS,NBA1"
4,Giannis Antetokounmpo,22,MIL,SF,80,80,2845,0.521,8.7,0.857,0.496,0.149,0.064,0.146,0.143,0.563,0.709,0.394,0.338,0.342,0.272,0.42,0.714,0.164,194,0.111,0.2,4,0,"MVP-7,MIP-1,AS,NBA2,DEF2"
5,John Wall,26,WAS,PG,78,78,2836,0.451,11.9,0.81,0.38,0.082,0.109,0.238,0.19,0.48,0.593,0.364,0.376,0.389,0.327,0.14,0.629,0.031,44,0.096,0.269,3,0,"MVP-7,AS,NBA3"
6,Jimmy Butler,27,CHI,SF,76,75,2809,0.455,12.9,0.802,0.282,0.125,0.164,0.232,0.198,0.477,0.612,0.513,0.376,0.366,0.367,0.365,0.637,0.038,44,0.153,0.553,3,0,"AS,NBA3"
7,Harrison Barnes,24,DAL,PF,79,79,2803,0.468,13.1,0.827,0.183,0.186,0.194,0.265,0.173,0.492,0.679,0.483,0.452,0.398,0.351,0.434,0.949,0.045,48,0.284,0.317,0,0,
8,Russell Westbrook,28,OKC,PG,81,81,2802,0.425,13.8,0.7,0.293,0.067,0.171,0.167,0.3,0.459,0.576,0.305,0.434,0.345,0.343,0.136,0.35,0.031,49,0.075,0.409,1,0,"MVP-1,AS,NBA1"
9,CJ McCollum,25,POR,SG,80,80,2796,0.48,15.1,0.695,0.178,0.148,0.146,0.222,0.305,0.506,0.588,0.488,0.507,0.453,0.421,0.26,0.741,0.009,11,0.155,0.412,6,0,
10,LeBron James,32,CLE,SF,74,74,2794,0.548,11,0.746,0.432,0.106,0.105,0.102,0.254,0.611,0.78,0.385,0.44,0.307,0.363,0.355,0.492,0.112,145,0.102,0.371,0,0,"MVP-4,DPOY-5,AS,NBA1"
11,Trevor Ariza,31,HOU,SF,80,80,2773,0.409,18.6,0.305,0.207,0.054,0.013,0.031,0.695,0.556,0.655,0.395,0.4,0.28,0.344,0.615,0.958,0.041,29,0.351,0.39,1,0,
12,Rudy Gobert,24,UTA,C,81,81,2744,0.661,1.7,0.998,0.845,0.144,0.005,0.002,0.002,0.662,0.731,0.278,0.667,0,0,0.741,,0.392,235,0,,1,0,"DPOY-2,NBA2,DEF1"
13,Kemba Walker,26,CHO,PG,79,79,2739,0.444,15,0.585,0.304,0.065,0.073,0.144,0.415,0.476,0.549,0.33,0.387,0.428,0.399,0.201,0.513,0,0,0.066,0.525,3,0,AS
14,Devin Booker,20,PHO,SG,78,78,2730,0.423,14.8,0.717,0.202,0.129,0.156,0.229,0.283,0.447,0.578,0.443,0.381,0.381,0.363,0.333,0.762,0.021,28,0.133,0.389,2,0,
15,Anthony Davis,23,NOP,C,75,75,2708,0.505,10.6,0.912,0.283,0.233,0.168,0.228,0.088,0.524,0.706,0.454,0.467,0.414,0.299,0.644,1,0.094,135,0.082,0.273,2,0,"MVP-9,AS,NBA1,DEF2"
16,Damian Lillard,26,POR,PG,75,75,2694,0.444,15.1,0.611,0.269,0.126,0.08,0.137,0.389,0.492,0.6,0.335,0.437,0.451,0.37,0.235,0.495,0.003,4,0.045,0.577,2,0,
17,Paul George,26,IND,SF,75,75,2689,0.461,17.1,0.632,0.131,0.099,0.121,0.283,0.368,0.501,0.625,0.489,0.411,0.484,0.393,0.375,0.815,0.026,31,0.19,0.404,1,0,AS
18,Bradley Beal,23,WAS,SG,77,77,2684,0.482,15.9,0.582,0.238,0.101,0.085,0.157,0.418,0.538,0.634,0.425,0.469,0.505,0.404,0.486,0.803,0.038,48,0.154,0.447,3,0,
19,Jeff Teague,28,IND,PG,82,82,2657,0.442,12.4,0.723,0.237,0.295,0.099,0.091,0.277,0.475,0.558,0.407,0.5,0.458,0.357,0.096,0.6,0.002,2,0.091,0.304,3,0,
