,,,,,,,,,,% of FGA by Distance,,,,,,FG% by Distance,,,,,,% of FG Ast'd,,Dunks,,Corner 3s,,Heaves,,
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,10-Mar,16-Oct,16-3P,3P,2P,0-3,10-Mar,16-Oct,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
1,Mikal Bridges,25,PHO,SF,82,82,2854,0.534,13.3,0.636,0.227,0.205,0.159,0.045,0.364,0.628,0.795,0.619,0.507,0.256,0.369,0.764,0.983,0.066,54,0.561,0.4,0,0,"DPOY-2,DEF1"
2,Miles Bridges,23,CHO,PF,80,80,2837,0.491,12.4,0.617,0.357,0.212,0.02,0.029,0.383,0.59,0.723,0.412,0.458,0.343,0.331,0.597,0.825,0.107,118,0.275,0.344,6,0,
3,DeMar DeRozan,32,CHI,PF,76,76,2743,0.504,13,0.907,0.164,0.158,0.297,0.288,0.093,0.52,0.671,0.494,0.511,0.457,0.352,0.217,0.9,0.026,33,0.387,0.327,4,0,"MVP-10,AS,NBA2"
4,Jayson Tatum,23,BOS,SF,76,76,2731,0.453,15.2,0.584,0.22,0.176,0.088,0.1,0.416,0.524,0.741,0.413,0.328,0.41,0.353,0.429,0.565,0.052,76,0.121,0.38,2,0,"MVP-6,AS,NBA1"
5,Saddiq Bey,22,DET,SF,82,82,2704,0.396,17.4,0.463,0.166,0.157,0.072,0.068,0.537,0.454,0.619,0.348,0.329,0.429,0.346,0.431,0.891,0.021,23,0.252,0.403,9,0,
6,Tyrese Haliburton,21,2TM,PG,77,77,2695,0.473,16.7,0.572,0.13,0.183,0.158,0.101,0.428,0.517,0.712,0.41,0.521,0.457,0.414,0.279,0.584,0.028,25,0.139,0.444,9,0,
6,Tyrese Haliburton,21,SAC,SG,51,51,1757,0.457,16.8,0.57,0.118,0.183,0.164,0.106,0.43,0.491,0.739,0.355,0.458,0.5,0.413,0.238,0.587,0.02,12,0.147,0.486,3,0,
6,Tyrese Haliburton,21,IND,PG,26,26,938,0.502,16.6,0.576,0.152,0.183,0.149,0.093,0.424,0.565,0.673,0.508,0.646,0.367,0.416,0.343,0.579,0.04,13,0.124,0.353,6,0,
7,Russell Westbrook,33,LAL,PG,78,78,2678,0.444,10.8,0.785,0.333,0.232,0.106,0.114,0.215,0.485,0.623,0.388,0.374,0.379,0.298,0.232,0.646,0.021,17,0.181,0.438,0,0,
8,Trae Young,23,ATL,PG,76,76,2652,0.46,16.5,0.605,0.159,0.204,0.116,0.126,0.395,0.512,0.62,0.451,0.469,0.513,0.382,0.142,0.223,0,0,0.048,0.552,1,0,"AS,NBA3"
9,Tyrese Maxey,21,PHI,PG,75,74,2650,0.485,12.9,0.689,0.258,0.237,0.121,0.073,0.311,0.512,0.654,0.466,0.317,0.479,0.427,0.45,0.712,0.017,14,0.181,0.589,2,0,
10,Dorian Finney-Smith,28,DAL,PF,80,80,2644,0.471,17,0.371,0.233,0.098,0.025,0.016,0.629,0.599,0.752,0.324,0.471,0.273,0.395,0.766,0.983,0.082,49,0.414,0.461,2,0,
