,,,,,,,,,,% of FGA by Distance,,,,,,FG% by Distance,,,,,,% of FG Ast'd,,Dunks,,Corner 3s,,Heaves,,
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,10-Mar,16-Oct,16-3P,3P,2P,0-3,10-Mar,16-Oct,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
23,Rudy Gobert,26,UTA,C,81,80,2577,0.669,2.2,1,0.815,0.167,0.011,0.007,0,0.669,0.743,0.361,0.125,0.2,,0.735,,0.479,306,,,0,0,"MVP-11,DPOY-1,NBA3,DEF1"
24,Bojan Bogdanović,29,IND,SF,81,81,2573,0.497,13.5,0.633,0.303,0.144,0.119,0.068,0.367,0.538,0.676,0.377,0.416,0.479,0.425,0.642,0.921,0.029,31,0.288,0.495,0,0,
25,Joe Ingles,31,UTA,PF,82,82,2568,0.448,17.3,0.398,0.191,0.133,0.042,0.031,0.602,0.533,0.667,0.439,0.382,0.32,0.391,0.388,0.825,0.004,3,0.261,0.444,2,0,
26,Evan Fournier,26,ORL,SG,81,81,2553,0.438,15.7,0.579,0.206,0.148,0.105,0.121,0.421,0.509,0.668,0.411,0.438,0.419,0.34,0.508,0.856,0.011,12,0.178,0.388,2,0,
27,Pascal Siakam,24,TOR,PF,80,79,2548,0.549,8.7,0.774,0.403,0.302,0.05,0.019,0.226,0.602,0.722,0.474,0.468,0.444,0.369,0.493,0.975,0.063,58,0.682,0.411,2,0,MIP-1
28,De'Aaron Fox,21,SAC,PG,81,81,2546,0.458,11.6,0.789,0.279,0.254,0.118,0.139,0.211,0.482,0.687,0.357,0.392,0.373,0.371,0.172,0.523,0.039,41,0.129,0.3,0,0,
29,Karl-Anthony Towns,23,MIN,C,77,77,2545,0.518,11.4,0.73,0.297,0.289,0.068,0.076,0.27,0.562,0.738,0.471,0.36,0.4,0.4,0.584,0.93,0.086,105,0.115,0.415,1,0,AS
30,Andrew Wiggins,23,MIN,SF,73,73,2543,0.412,13.7,0.712,0.264,0.146,0.122,0.181,0.288,0.441,0.621,0.341,0.34,0.329,0.339,0.45,0.814,0.037,39,0.164,0.474,2,0,
31,Josh Richardson,25,MIA,SG,73,73,2539,0.412,16.5,0.552,0.176,0.125,0.131,0.12,0.448,0.458,0.569,0.367,0.455,0.39,0.357,0.436,0.878,0.027,25,0.154,0.366,0,0,
32,Harrison Barnes,26,2TM,PF,77,77,2533,0.42,14.9,0.571,0.195,0.212,0.096,0.067,0.429,0.439,0.65,0.358,0.313,0.261,0.395,0.506,0.868,0.031,28,0.297,0.45,2,0,
32,Harrison Barnes,26,DAL,PF,49,49,1584,0.404,15,0.566,0.197,0.195,0.099,0.075,0.434,0.416,0.617,0.336,0.296,0.259,0.389,0.485,0.876,0.024,14,0.277,0.442,0,0,
32,Harrison Barnes,26,SAC,SF,28,28,949,0.455,14.8,0.581,0.19,0.252,0.09,0.048,0.419,0.489,0.729,0.397,0.357,0.267,0.408,0.545,0.849,0.048,14,0.346,0.467,2,0,
33,Nikola Vučević,28,ORL,C,80,80,2510,0.518,10.9,0.829,0.261,0.299,0.143,0.126,0.171,0.549,0.706,0.533,0.404,0.427,0.364,0.669,1,0.042,51,0.013,0.333,1,0,AS
34,Nikola Jokić,23,DEN,C,80,80,2504,0.511,10.4,0.776,0.323,0.299,0.086,0.067,0.224,0.569,0.695,0.499,0.519,0.346,0.307,0.48,0.916,0.009,11,0.022,0.333,4,0,"MVP-4,AS,NBA1"
35,Trae Young,20,ATL,PG,81,81,2503,0.418,14.9,0.616,0.265,0.143,0.146,0.063,0.384,0.477,0.562,0.419,0.448,0.316,0.324,0.211,0.423,0,0,0.037,0.389,1,0,ROY-2
36,Thaddeus Young,30,IND,PF,81,81,2489,0.527,7.8,0.826,0.464,0.287,0.039,0.037,0.174,0.564,0.679,0.456,0.303,0.226,0.349,0.554,0.941,0.05,36,0.445,0.354,2,0,
37,Jayson Tatum,20,BOS,SF,79,79,2455,0.45,13.6,0.7,0.261,0.133,0.137,0.169,0.3,0.483,0.678,0.326,0.43,0.349,0.373,0.497,0.853,0.07,68,0.273,0.341,0,0,
38,D'Angelo Russell,22,BRK,PG,81,81,2448,0.434,16.4,0.581,0.137,0.157,0.178,0.109,0.419,0.482,0.558,0.441,0.504,0.41,0.369,0.155,0.53,0.003,3,0.074,0.468,1,0,AS
39,Jamal Murray,21,DEN,PG,75,74,2447,0.437,15.1,0.647,0.184,0.16,0.169,0.134,0.353,0.476,0.583,0.399,0.439,0.465,0.367,0.526,0.684,0.025,25,0.089,0.568,2,0,
40,Cedi Osman,23,CLE,SF,76,75,2444,0.427,14.8,0.557,0.287,0.118,0.077,0.075,0.443,0.489,0.603,0.33,0.4,0.397,0.348,0.5,0.838,0.012,10,0.235,0.318,1,0,
41,Marc Gasol,34,2TM,C,79,72,2436,0.448,14,0.686,0.156,0.248,0.163,0.118,0.314,0.487,0.654,0.468,0.373,0.466,0.363,0.715,0.99,0.031,23,0.026,0.286,0,0,
41,Marc Gasol,34,MEM,C,53,53,1788,0.444,14.5,0.676,0.154,0.243,0.16,0.12,0.324,0.491,0.676,0.452,0.385,0.476,0.344,0.705,1,0.035,20,0.032,0.286,0,0,
41,Marc Gasol,34,TOR,C,26,19,648,0.465,13.5,0.722,0.166,0.267,0.176,0.112,0.278,0.474,0.581,0.52,0.333,0.429,0.442,0.75,0.957,0.016,3,0,,0,0,
42,Mikal Bridges,22,PHO,SF,82,56,2417,0.43,15.6,0.444,0.277,0.101,0.041,0.025,0.556,0.548,0.647,0.421,0.304,0.357,0.335,0.715,0.962,0.048,25,0.415,0.315,1,0,
43,Jrue Holiday,28,NOP,SG,67,67,2402,0.472,12.3,0.687,0.318,0.192,0.122,0.056,0.313,0.539,0.655,0.446,0.475,0.338,0.325,0.305,0.593,0.024,25,0.107,0.41,1,0,DEF2
44,Khris Middleton,27,MIL,SF,77,77,2393,0.441,15.9,0.587,0.171,0.159,0.145,0.112,0.413,0.485,0.592,0.429,0.461,0.434,0.378,0.327,0.603,0.017,19,0.127,0.317,0,0,AS
45,JJ Redick,34,PHI,SG,76,63,2379,0.44,20.9,0.411,0.081,0.045,0.045,0.241,0.589,0.502,0.639,0.348,0.435,0.498,0.397,0.83,0.95,0,0,0.129,0.397,0,0,
46,CJ McCollum,27,POR,SG,70,70,2375,0.459,15.3,0.642,0.183,0.15,0.151,0.158,0.358,0.506,0.561,0.441,0.516,0.495,0.375,0.356,0.731,0.011,14,0.09,0.5,1,0,
47,Giannis Antetokounmpo,24,MIL,PF,72,72,2358,0.578,7.7,0.837,0.573,0.152,0.051,0.063,0.163,0.641,0.769,0.339,0.381,0.41,0.256,0.472,0.673,0.246,279,0.044,0.222,1,0,"MVP-1,DPOY-2,AS,NBA1,DEF1"
48,Nicolas Batum,30,CHO,SF,75,72,2354,0.45,17.1,0.47,0.21,0.077,0.084,0.1,0.53,0.519,0.661,0.442,0.383,0.393,0.389,0.54,0.828,0.044,22,0.309,0.457,1,0,
49,Trevor Ariza,33,2TM,SF,69,69,2349,0.399,16.6,0.41,0.262,0.091,0.023,0.034,0.59,0.493,0.611,0.224,0.294,0.44,0.334,0.617,0.917,0.042,29,0.297,0.395,1,0,
49,Trevor Ariza,33,PHO,SF,26,26,884,0.379,16.8,0.388,0.251,0.097,0.013,0.026,0.612,0.409,0.491,0.227,0,0.5,0.36,0.472,0.94,0.04,9,0.288,0.4,0,0,
49,Trevor Ariza,33,WAS,SF,43,43,1465,0.409,16.5,0.42,0.267,0.088,0.028,0.037,0.58,0.528,0.662,0.222,0.357,0.421,0.322,0.664,0.905,0.043,20,0.302,0.393,1,0,
50,Mike Conley,31,MEM,PG,70,70,2342,0.438,15.3,0.62,0.19,0.157,0.15,0.122,0.38,0.483,0.554,0.494,0.429,0.423,0.364,0.304,0.594,0,0,0.115,0.49,3,0,
51,Stephen Curry,30,GSW,PG,69,69,2331,0.472,19.7,0.396,0.143,0.096,0.046,0.11,0.604,0.525,0.649,0.488,0.419,0.439,0.437,0.464,0.689,0.002,1,0.148,0.517,11,1,"MVP-5,AS,NBA1"
52,Brook Lopez,30,MIL,C,81,81,2322,0.452,19.2,0.349,0.173,0.101,0.055,0.02,0.651,0.613,0.765,0.456,0.535,0.313,0.365,0.649,0.952,0.057,40,0.143,0.397,0,0,
53,Luka Dončić,19,DAL,SG,72,72,2318,0.427,15.5,0.567,0.209,0.212,0.103,0.042,0.433,0.503,0.637,0.448,0.377,0.42,0.327,0.195,0.423,0.022,25,0.058,0.5,14,1,ROY-1
54,Dennis Schröder,25,OKC,PG,79,14,2314,0.414,14.1,0.67,0.251,0.145,0.17,0.104,0.33,0.45,0.52,0.406,0.41,0.409,0.341,0.165,0.798,0.001,1,0.135,0.388,5,0,6MOY-8
