,,,,,,,,,,% of FGA by Distance,,,,,,FG% by Distance,,,,,,% of FG Ast'd,,Dunks,,Corner 3s,,Heaves,,
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,10-Mar,16-Oct,16-3P,3P,2P,0-3,10-Mar,16-Oct,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
1,Mikal Bridges,26,2TM,SG,83,83,2963,0.468,14.6,0.651,0.17,0.176,0.227,0.078,0.349,0.514,0.693,0.466,0.469,0.364,0.382,0.538,0.923,0.028,31,0.434,0.448,2,0,
1,Mikal Bridges,26,PHO,SF,56,56,2040,0.463,14.1,0.658,0.185,0.177,0.224,0.073,0.342,0.503,0.709,0.422,0.468,0.286,0.387,0.605,0.98,0.035,24,0.46,0.475,1,0,
1,Mikal Bridges,26,BRK,SG,27,27,923,0.475,15.1,0.64,0.147,0.175,0.233,0.085,0.36,0.531,0.662,0.534,0.47,0.465,0.376,0.439,0.838,0.016,7,0.398,0.403,1,0,
2,Anthony Edwards,21,MIN,SG,79,79,2842,0.459,13.9,0.625,0.295,0.154,0.075,0.102,0.375,0.513,0.674,0.376,0.383,0.35,0.369,0.348,0.516,0.044,59,0.097,0.446,3,0,AS
3,Zach LaVine,27,CHI,SG,77,77,2768,0.485,14.9,0.608,0.284,0.112,0.067,0.145,0.392,0.556,0.693,0.442,0.441,0.428,0.375,0.335,0.647,0.042,56,0.138,0.467,0,0,
4,Nikola Vučević,32,CHI,C,82,82,2746,0.52,12.8,0.698,0.235,0.258,0.126,0.078,0.302,0.594,0.704,0.601,0.462,0.456,0.349,0.735,1,0.039,37,0.124,0.465,0,0,
5,Julius Randle,28,NYK,PF,77,77,2737,0.459,15.3,0.556,0.22,0.149,0.123,0.064,0.444,0.553,0.679,0.519,0.443,0.407,0.343,0.382,0.752,0.051,62,0.142,0.333,2,0,"CPOY-14,AS,NBA3"
6,Domantas Sabonis,26,SAC,C,79,79,2736,0.615,6.2,0.912,0.483,0.314,0.044,0.058,0.088,0.639,0.764,0.502,0.512,0.444,0.373,0.57,0.968,0.092,79,0.12,0.2,1,0,"MVP-7,AS,NBA3"
7,Jayson Tatum,24,BOS,SF,74,74,2732,0.466,14.8,0.56,0.235,0.208,0.058,0.06,0.44,0.558,0.738,0.457,0.389,0.366,0.35,0.515,0.646,0.065,91,0.08,0.455,0,0,"MVP-4,CPOY-10,AS,NBA1"
8,Spencer Dinwiddie,29,2TM,SG,79,79,2725,0.438,15.5,0.533,0.186,0.206,0.092,0.05,0.467,0.498,0.646,0.417,0.423,0.423,0.369,0.118,0.602,0.021,17,0.182,0.506,1,0,
8,Spencer Dinwiddie,29,DAL,SG,53,53,1808,0.455,16,0.509,0.184,0.197,0.079,0.048,0.491,0.504,0.641,0.401,0.473,0.455,0.405,0.135,0.63,0.023,11,0.211,0.556,1,0,
8,Spencer Dinwiddie,29,BRK,PG,26,26,917,0.404,15,0.581,0.188,0.222,0.118,0.053,0.419,0.488,0.657,0.443,0.357,0.368,0.289,0.089,0.512,0.017,6,0.114,0.294,0,0,
9,Evan Mobley,21,CLE,PF,79,79,2715,0.554,7.2,0.892,0.404,0.32,0.122,0.035,0.108,0.595,0.817,0.409,0.362,0.455,0.216,0.724,0.955,0.237,214,0.392,0.2,0,0,"DPOY-3,DEF1"
10,Dejounte Murray,26,ATL,SG,74,74,2693,0.464,14.3,0.707,0.158,0.155,0.227,0.158,0.293,0.514,0.697,0.431,0.455,0.486,0.344,0.192,0.722,0.016,21,0.222,0.442,0,0,
11,DeMar DeRozan,33,CHI,SF,74,74,2682,0.504,13.7,0.891,0.165,0.125,0.263,0.338,0.109,0.526,0.735,0.491,0.499,0.459,0.324,0.244,0.848,0.023,29,0.31,0.318,1,0,"CPOY-3,AS"
12,Scottie Barnes,21,TOR,SF,77,76,2678,0.456,10.7,0.78,0.275,0.317,0.096,0.082,0.22,0.505,0.685,0.45,0.296,0.361,0.281,0.485,0.841,0.086,82,0.339,0.316,4,0,
13,Harrison Barnes,30,SAC,PF,82,82,2662,0.473,13.6,0.554,0.255,0.23,0.053,0.008,0.446,0.553,0.713,0.407,0.429,0.333,0.374,0.57,0.924,0.062,46,0.365,0.395,2,0,
14,Pascal Siakam,28,TOR,PF,71,71,2652,0.48,12.2,0.781,0.192,0.292,0.159,0.126,0.219,0.523,0.75,0.474,0.469,0.37,0.324,0.311,0.849,0.025,32,0.199,0.351,3,0,AS
15,CJ McCollum,31,NOP,PG,75,75,2649,0.437,16,0.596,0.108,0.208,0.148,0.125,0.404,0.469,0.621,0.443,0.513,0.327,0.389,0.295,0.754,0.004,3,0.107,0.328,0,0,
16,Franz Wagner,21,ORL,SF,80,80,2609,0.485,12,0.678,0.27,0.311,0.063,0.034,0.322,0.544,0.728,0.42,0.414,0.447,0.361,0.464,0.8,0.03,29,0.172,0.435,4,0,
17,Jalen Green,20,HOU,SG,76,76,2602,0.416,15.2,0.592,0.202,0.212,0.079,0.1,0.408,0.471,0.591,0.406,0.467,0.368,0.338,0.351,0.572,0.046,53,0.128,0.324,4,0,
18,Bam Adebayo,25,MIA,C,75,75,2598,0.54,7.3,0.989,0.295,0.379,0.26,0.047,0.011,0.545,0.714,0.479,0.497,0.288,0.083,0.594,1,0.136,139,0,,1,0,"DPOY-5,AS,DEF2"
19,Trae Young,24,ATL,PG,73,73,2541,0.429,14.9,0.669,0.155,0.243,0.147,0.114,0.331,0.476,0.546,0.426,0.527,0.409,0.335,0.167,0.318,0,0,0.05,0.304,2,0,
20,Fred VanVleet,28,TOR,PG,69,69,2535,0.393,18.4,0.455,0.12,0.144,0.088,0.101,0.545,0.455,0.586,0.375,0.398,0.455,0.342,0.187,0.585,0,0,0.119,0.431,6,0,
21,Buddy Hield,30,IND,SF,80,73,2482,0.458,19.2,0.348,0.151,0.084,0.044,0.066,0.652,0.518,0.688,0.345,0.413,0.42,0.425,0.556,0.878,0.012,12,0.167,0.478,1,0,
22,RJ Barrett,22,NYK,SG,73,73,2475,0.434,11.5,0.668,0.299,0.287,0.06,0.023,0.332,0.495,0.642,0.401,0.3,0.259,0.31,0.424,0.926,0.029,29,0.29,0.319,0,0,
23,Jordan Poole,23,GSW,PG,82,43,2458,0.43,17.3,0.502,0.134,0.21,0.081,0.077,0.498,0.524,0.696,0.517,0.379,0.398,0.336,0.446,0.701,0.024,27,0.118,0.333,8,0,
24,Josh Hart,27,2TM,SF,76,52,2454,0.529,10.6,0.685,0.444,0.15,0.065,0.025,0.315,0.601,0.736,0.41,0.265,0.231,0.372,0.444,1,0.019,10,0.415,0.412,0,0,
24,Josh Hart,27,POR,SF,51,51,1704,0.504,10.6,0.691,0.455,0.132,0.072,0.033,0.309,0.594,0.715,0.438,0.269,0.25,0.304,0.47,1,0.019,7,0.438,0.327,0,0,
24,Josh Hart,27,NYK,SF,25,1,750,0.586,10.5,0.669,0.42,0.191,0.051,0.006,0.331,0.619,0.788,0.367,0.25,0,0.519,0.385,1,0.019,3,0.365,0.632,0,0,
25,Jabari Smith Jr.,19,HOU,PF,79,79,2451,0.408,16.2,0.562,0.155,0.178,0.12,0.109,0.438,0.487,0.725,0.39,0.458,0.34,0.307,0.648,0.883,0.054,42,0.176,0.348,1,0,
26,Trey Murphy III,22,NOP,SF,79,65,2448,0.484,17.7,0.379,0.201,0.129,0.02,0.026,0.621,0.611,0.758,0.495,0.188,0.333,0.406,0.659,0.946,0.124,85,0.266,0.424,1,0,
27,Darius Garland,23,CLE,PG,69,69,2447,0.462,14.8,0.635,0.17,0.226,0.128,0.102,0.365,0.492,0.615,0.451,0.521,0.357,0.41,0.286,0.568,0.004,4,0.087,0.389,1,0,
28,Tobias Harris,30,PHI,SF,74,74,2436,0.501,13.2,0.617,0.26,0.22,0.102,0.034,0.383,0.57,0.709,0.473,0.453,0.483,0.389,0.495,0.937,0.07,51,0.389,0.405,0,0,
29,De'Aaron Fox,25,SAC,PG,73,73,2435,0.512,13.5,0.724,0.171,0.251,0.194,0.108,0.276,0.584,0.803,0.569,0.488,0.444,0.324,0.16,0.613,0.033,41,0.128,0.255,0,0,"MVP-11,CPOY-1,AS,NBA3"
30,Donovan Mitchell,26,CLE,SG,68,68,2432,0.484,16,0.547,0.207,0.148,0.078,0.098,0.453,0.566,0.7,0.524,0.486,0.431,0.386,0.258,0.469,0.029,36,0.054,0.382,6,0,"MVP-6,CPOY-6,AS,NBA2"
31,Paolo Banchero,20,ORL,PF,72,72,2430,0.427,12.4,0.746,0.242,0.253,0.124,0.127,0.254,0.471,0.658,0.38,0.41,0.352,0.298,0.404,0.706,0.054,52,0.123,0.343,1,0,ROY-1
32,Jaden McDaniels,22,MIN,SF,79,79,2416,0.517,12.5,0.624,0.288,0.215,0.088,0.034,0.376,0.588,0.752,0.461,0.444,0.375,0.398,0.658,0.991,0.115,72,0.506,0.419,2,0,
33,Shai Gilgeous-Alexander,24,OKC,PG,68,68,2416,0.51,9.8,0.878,0.283,0.276,0.246,0.073,0.122,0.533,0.678,0.438,0.512,0.396,0.345,0.201,0.31,0.039,50,0.101,0.235,1,0,"MVP-5,CPOY-7,AS,NBA1"
34,Royce O'Neale,29,BRK,SF,76,53,2409,0.386,19.6,0.293,0.155,0.118,0.015,0.005,0.707,0.379,0.489,0.271,0.222,0,0.389,0.394,0.975,0.01,5,0.15,0.349,3,0,
35,Jaylen Brown,26,BOS,SF,67,67,2405,0.491,13.6,0.648,0.237,0.203,0.101,0.093,0.352,0.576,0.741,0.477,0.543,0.406,0.335,0.467,0.687,0.052,63,0.125,0.279,1,0,"AS,NBA2"
36,Luka Dončić,23,DAL,PG,66,66,2391,0.496,14.7,0.627,0.176,0.252,0.145,0.054,0.373,0.588,0.745,0.578,0.51,0.333,0.342,0.131,0.216,0.01,12,0.041,0.273,8,0,"MVP-8,CPOY-8,AS,NBA1"
